Pin Pin_Name Bank
J16 IO_L9N_T1_DQS_AD11N_15_J16 15
E15 IO_L10P_T1_AD4P_15_E15 15
E16 IO_L10N_T1_AD4N_15_E16 15
G17 IO_L11P_T1_SRCC_AD12P_15_G17 15
F18 IO_L11N_T1_SRCC_AD12N_15_F18 15
F17 IO_L12P_T1_MRCC_AD5P_15_F17 15
E17 IO_L12N_T1_MRCC_AD5N_15_E17 15
E18 IO_L13P_T2_MRCC_15_E18 15
D18 IO_L13N_T2_MRCC_15_D18 15
H17 IO_L14P_T2_SRCC_15_H17 15
H18 IO_L14N_T2_SRCC_15_H18 15
D19 IO_L15P_T2_DQS_15_D19 15
D20 IO_L15N_T2_DQS_ADV_B_15_D20 15
G19 IO_L16P_T2_A28_15_G19 15
F20 IO_L16N_T2_A27_15_F20 15
F19 IO_L17P_T2_A26_15_F19 15
E20 IO_L17N_T2_A25_15_E20 15
H19 IO_L18P_T2_A24_15_H19 15
G20 IO_L18N_T2_A23_15_G20 15
K20 IO_L19P_T3_A22_15_K20 15
J20 IO_L19N_T3_A21_VREF_15_J20 15
J18 IO_L20P_T3_A20_15_J18 15
J19 IO_L20N_T3_A19_15_J19 15
L19 IO_L21P_T3_DQS_15_L19 15
L20 IO_L21N_T3_DQS_A18_15_L20 15
K16 IO_L22P_T3_A17_15_K16 15
K17 IO_L22N_T3_A16_15_K17 15
M17 IO_L23P_T3_FOE_B_15_M17 15
L18 IO_L23N_T3_FWE_B_15_L18 15
L17 IO_L24P_T3_RS1_15_L17 15
K18 IO_L24N_T3_RS0_15_K18 15
M16 IO_25_15_M16 15
J8 IO_0_16_J8 16
H9 IO_L1P_T0_16_H9 16
H8 IO_L1N_T0_16_H8 16
G10 IO_L2P_T0_16_G10 16
G9 IO_L2N_T0_16_G9 16
J13 IO_L3P_T0_DQS_16_J13 16
H13 IO_L3N_T0_DQS_16_H13 16
J11 IO_L4P_T0_16_J11 16
J10 IO_L4N_T0_16_J10 16
H14 IO_L5P_T0_16_H14 16
G14 IO_L5N_T0_16_G14 16
H12 IO_L6P_T0_16_H12 16
H11 IO_L6N_T0_VREF_16_H11 16
F9 IO_L7P_T1_16_F9 16
F8 IO_L7N_T1_16_F8 16
D9 IO_L8P_T1_16_D9 16
D8 IO_L8N_T1_16_D8 16
